person_id,master_metadata_track_name,master_metadata_album_artist_name,total_minutes,repeat_count,days_listened,playlist_share,first_listened,last_listened,peak_month
p2,Go Gina,SZA,278.1367666666667,133,72,0.0,2024-10-08 05:36:46+00:00,2026-02-03 20:45:52+00:00,2024-10
p2,Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,275.6058833333333,106,84,0.0,2022-04-03 03:43:44+00:00,2025-12-31 11:33:18+00:00,2023-04
p2,mirrorball,Taylor Swift,274.89475000000004,119,94,0.0,2022-06-01 03:01:48+00:00,2024-12-25 01:41:30+00:00,2023-03
p2,Juna,Clairo,270.5629333333333,105,78,0.0,2024-07-14 01:41:01+00:00,2026-01-27 20:56:34+00:00,2025-04
p2,Pancakes for Dinner,Lizzy McAlpine,266.1446833333333,112,87,0.0,2022-03-31 04:38:40+00:00,2025-12-19 15:06:29+00:00,2022-04
p2,Sexy to Someone,Clairo,264.76393333333334,116,78,0.0,2024-05-24 00:36:58+00:00,2025-09-03 18:10:01+00:00,2025-05
p2,Sofia,Clairo,263.93545,115,93,0.0,2022-02-18 06:28:50+00:00,2026-01-26 13:52:42+00:00,2024-11
p2,this is me trying,Taylor Swift,261.4993333333333,118,95,0.0,2022-04-01 10:22:58+00:00,2025-03-28 00:43:58+00:00,2023-03
p2,Softly,Clairo,260.79643333333337,109,79,0.0,2022-03-18 07:07:47+00:00,2026-01-26 13:55:57+00:00,2024-11
p2,4EVER,Clairo,258.94813333333343,115,92,0.0,2022-08-01 07:01:00+00:00,2025-09-11 19:21:55+00:00,2024-11
p2,doomsday,Lizzy McAlpine,258.89500000000004,102,86,0.0,2022-04-27 04:19:18+00:00,2026-01-27 21:47:07+00:00,2025-02
p2,touch tank,quinnie,255.3824833333333,117,54,0.0,2022-07-19 06:40:42+00:00,2025-10-16 12:04:14+00:00,2022-08
p2,ICU,Phoebe Bridgers,253.63261666666662,101,68,0.0,2022-12-28 12:20:02+00:00,2025-12-31 11:18:04+00:00,2023-02
p2,Motion Sickness,Phoebe Bridgers,253.2537166666667,91,68,0.0,2022-03-05 05:41:19+00:00,2025-12-31 11:28:45+00:00,2022-04
p2,I know it won't work,Gracie Abrams,251.91893333333337,81,63,0.0,2023-02-25 00:21:10+00:00,2025-07-15 03:02:58+00:00,2023-03
p2,Booster Seat,Spacey Jane,248.76841666666667,61,53,0.0,2022-03-18 05:10:06+00:00,2025-12-25 14:21:34+00:00,2025-08
p2,20 Something,SZA,247.87469999999996,92,68,0.0,2024-10-08 06:14:47+00:00,2026-01-27 20:53:18+00:00,2024-11
p2,Difficult,Gracie Abrams,245.41786666666667,72,55,0.0,2022-10-09 02:34:48+00:00,2025-05-04 02:26:35+00:00,2023-04
p2,Jesus Christ 2005 God Bless America,The 1975,245.1462166666667,101,71,0.0,2022-10-30 00:35:18+00:00,2025-05-28 08:05:32+00:00,2022-12
p2,tolerate it,Taylor Swift,244.05968333333334,94,83,0.0,2022-04-01 10:22:17+00:00,2025-11-28 15:48:12+00:00,2023-03
p2,chemtrails,Lizzy McAlpine,243.97224999999997,103,82,0.0,2022-05-02 09:17:48+00:00,2025-12-19 14:35:09+00:00,2023-04
p2,Rockland,Gracie Abrams,243.34178333333332,85,73,0.0,2022-05-12 04:24:24+00:00,2025-12-19 11:53:23+00:00,2023-04
p2,A House In Nebraska,Ethel Cain,242.37198333333333,52,33,0.0,2024-07-30 00:42:40+00:00,2026-01-02 13:38:35+00:00,2024-08
p2,"I Knew It, I Know You",Gracie Abrams,239.2634,83,64,0.0,2024-07-01 02:07:12+00:00,2026-01-15 10:49:24+00:00,2024-09
p2,If I Believe You,The 1975,238.14315000000005,67,58,0.0,2022-12-22 08:17:54+00:00,2024-07-22 22:35:19+00:00,2023-03
p2,Prom,SZA,233.67753333333337,92,70,0.0,2024-10-08 06:11:23+00:00,2026-01-27 20:34:37+00:00,2024-11
p2,Don’t Smile,Sabrina Carpenter,231.3962,92,66,0.0,2024-08-22 23:34:25+00:00,2025-12-10 15:13:15+00:00,2024-09
p2,Snooze,SZA,230.07906666666668,89,73,0.0,2024-10-02 03:45:28+00:00,2026-02-02 19:44:44+00:00,2024-11
p2,Kyoto,Phoebe Bridgers,225.25105000000005,104,72,0.0,2022-03-16 21:15:40+00:00,2025-12-31 11:01:42+00:00,2022-04
p2,Savior Complex,Phoebe Bridgers,219.49964999999997,86,60,0.0,2022-03-26 04:36:02+00:00,2025-12-31 11:18:22+00:00,2022-04
